episode,loss
0,0
1000,0.04861541
2000,0.09168762
3000,0.04367606
4000,0.04619041
5000,0.04524185
6000,0.0835018
7000,0.20891857
8000,0.56701875
9000,0.9182327
10000,108.4679
11000,214.1094
12000,1011.4949
13000,286.31403
14000,1644.4125
15000,559.1886
16000,832.3646
17000,2059.3623
18000,1402.0643
19000,3018.0857
20000,6580.813
21000,691.7016
22000,1847.4495
23000,132.74733
24000,535.4236
25000,1317.8407
26000,1436.5157
27000,8942.97
28000,2671.609
29000,1453.3025
