episode,loss
0,0
1000,0.042969435
2000,0.1388917
3000,0.038541615
4000,0.04477008
5000,0.11702967
6000,0.06470448
7000,1.47531
8000,3.346589
9000,159.50418
10000,156.14578
11000,855.04895
12000,152.97327
13000,327.62573
14000,6133.309
15000,188.49844
16000,1782.6572
17000,6053.863
18000,1381.311
19000,4500.7637
20000,1405.9248
21000,1271.1348
22000,1223.3339
23000,1656.4717
24000,221.6767
25000,520.16724
26000,1340.6206
27000,348.93402
28000,197.11664
29000,2623.7302
